Timestamp,Blink,EAR
33,0,0.294807922
66,0,0.289437763
100,0,0.285124053
133,0,0.301251611
167,0,0.301038579
200,0,0.292815159
233,0,0.310859898
267,0,0.314848738
300,0,0.299278773
334,0,0.322269786
367,0,0.31337236
401,0,0.314410807
434,0,0.306590861
467,0,0.327687329
501,0,0.301218658
534,0,0.30927781
568,0,0.303157217
601,0,0.301384573
634,0,0.263601005
668,0,0.287808596
701,0,0.265079456
735,0,0.255299679
768,0,0.209648483
802,0,0.216668245
835,0,0.208166907
868,0,0.210412045
902,0,0.22139517
935,0,0.205499436
969,0,0.197962105
1002,0,0.194133107
1035,0,0.181710115
1069,0,0.192815703
1102,0,0.187510306
1136,0,0.203738419
1169,0,0.175479999
1203,0,0.177832338
1236,0,0.175980728
1269,0,0.185232445
1303,0,0.186439625
1336,0,0.180616971
1370,0,0.181827855
1403,0,0.168214117
1436,0,0.179429074
1470,0,0.185942448
1503,0,0.180616971
1537,0,0.168235964
1570,0,0.18054035
1604,0,0.193261454
1637,0,0.154054921
1670,0,0.171572823
1704,0,0.13406342
1737,0,0.135805781
1771,0,0.112649575
1804,0,0.136118503
1838,0,0.115121913
1871,0,0.130729933
1904,0,0.127523474
1938,0,0.134500398
1971,0,0.129656136
2005,0,0.14005159
2038,0,0.154377334
2071,0,0.128802638
2105,0,0.145319422
2138,0,0.143967696
2172,0,0.139183092
2205,0,0.146729552
2239,0,0.146778981
2272,0,0.151082124
2305,0,0.145734911
2339,0,0.164477981
2372,0,0.150964634
2406,0,0.151987223
2439,0,0.150592137
2472,0,0.126727392
2506,0,0.157443101
2539,0,0.148548879
2573,0,0.15170382
2606,0,0.14699536
2640,0,0.15705976
2673,0,0.153171913
2706,0,0.163134734
2740,0,0.152443583
2773,0,0.14197591
2807,0,0.120068891
2840,0,0.135557643
2873,0,0.204652406
2907,1,0.255997218
2940,0,0.300907971
2974,0,0.29739248
3007,0,0.29388682
3041,0,0.290044974
3074,0,0.286450785
3107,0,0.263629013
3141,0,0.259511893
3174,0,0.266775771
3208,0,0.277548876
3241,0,0.304941693
3274,0,0.285469961
3308,0,0.29988991
3341,0,0.30070555
3375,0,0.302450874
3408,0,0.301157689
3442,0,0.30614885
3475,0,0.313016446
3508,0,0.32378804
3542,0,0.296911035
3575,0,0.324213538
3609,0,0.313485132
3642,0,0.296580523
3676,0,0.313360153
3709,0,0.308890236
3742,0,0.294868858
3776,0,0.295796859
3809,0,0.309742005
3843,0,0.32845598
3876,0,0.314968098
3909,0,0.289964667
3943,0,0.331908099
3976,0,0.322365999
4010,0,0.332777421
4043,0,0.29279935
4077,0,0.312487738
4110,0,0.302363704
4143,0,0.337374341
4177,0,0.296788124
4210,0,0.315168417
4244,0,0.310382558
4277,0,0.288747685
4310,0,0.320185644
4344,0,0.308339904
4377,0,0.311480775
4411,0,0.289586067
4444,0,0.292823243
4478,0,0.31871444
4511,0,0.347066057
4544,0,0.318146546
4578,0,0.312203167
4611,0,0.319038158
4645,0,0.315816129
4678,0,0.316824577
4711,0,0.311887162
4745,0,0.308262486
4778,0,0.314257382
4812,0,0.327537084
4845,0,0.325998371
4879,0,0.345693171
4912,0,0.342327201
4945,0,0.338905273
4979,0,0.328063639
5012,0,0.303984528
5046,0,0.254713069
5079,0,0.234400067
5112,0,0.208542327
5146,0,0.218573316
5179,0,0.195734504
5213,0,0.203159817
5246,0,0.168860269
5280,0,0.195376822
5313,0,0.192971692
5346,0,0.19732856
5380,0,0.202642241
5413,0,0.216546915
5447,0,0.201541828
5480,0,0.215146352
5514,0,0.187838583
5547,0,0.207999266
5580,0,0.178530953
5614,0,0.175192031
5647,0,0.204587811
5681,0,0.196877384
5714,0,0.212513621
5747,0,0.209249217
5781,0,0.185674937
5814,0,0.159435137
5848,0,0.195428934
5881,0,0.238391006
5915,0,0.24965516
5948,1,0.326008623
5981,0,0.328927405
6015,0,0.373587912
6048,0,0.359728663
6082,0,0.342841883
6115,0,0.363454939
6148,0,0.36275463
6182,0,0.353188448
6215,0,0.348145643
6249,0,0.35183496
6282,0,0.341441373
6316,0,0.343916876
6349,0,0.358531621
6382,0,0.364765862
6416,0,0.360056673
6449,0,0.351757046
6483,0,0.337227181
6516,0,0.333668247
6549,0,0.334126635
6583,0,0.340991954
6616,0,0.339677772
6650,0,0.351035424
6683,0,0.360695977
6717,0,0.350502109
6750,0,0.338041021
6783,0,0.334459639
6817,0,0.350723944
6850,0,0.344053682
6884,0,0.348229309
6917,0,0.34835278
6950,0,0.371697865
6984,0,0.357091913
7017,0,0.359295363
7051,0,0.33580504
7084,0,0.338905542
7118,0,0.351305725
7151,0,0.344161368
7184,0,0.35847515
7218,0,0.346900844
7251,0,0.350536464
7285,0,0.354384683
7318,0,0.330381281
7352,0,0.315433224
7385,0,0.320384379
7418,0,0.32134104
7452,0,0.339779141
7485,0,0.349218048
7519,0,0.353563631
7552,0,0.316913839
7585,0,0.354591645
7619,0,0.323861133
7652,0,0.313186234
7686,0,0.207959555
7719,0,0.164864337
7753,0,0.206431707
7786,0,0.275774792
7819,0,0.297809616
7853,0,0.311518353
7886,0,0.318663224
7920,0,0.328823893
7953,0,0.289159619
7986,0,0.168305171
8020,0,0.126018432
8053,0,0.127579232
8087,0,0.144123842
8120,0,0.19852777
8154,1,0.309747212
8187,0,0.337054289
8220,0,0.332472773
8254,0,0.341493497
8287,0,0.331182487
8321,0,0.307847138
8354,0,0.299187425
8387,0,0.282032043
8421,0,0.272189723
8454,0,0.28441868
8488,0,0.271395762
8521,0,0.271664392
8555,0,0.271724583
8588,0,0.259290406
8621,0,0.267735463
8655,0,0.264181166
8688,0,0.254703308
8722,0,0.190273409
8755,0,0.185825486
8789,0,0.15961991
8822,0,0.160913168
8855,0,0.161463773
8889,0,0.154897915
8922,0,0.156380442
8956,0,0.166616431
8989,0,0.138422884
9022,0,0.126384709
9056,0,0.131433085
9089,0,0.123579913
9123,0,0.13310366
9156,0,0.122582832
9190,0,0.096844034
9223,0,0.111419741
9256,0,0.107845802
9290,0,0.109366778
9323,0,0.096521879
9357,0,0.103304358
9390,0,0.107231772
9423,0,0.115353708
9457,0,0.106952106
9490,0,0.102978264
9524,0,0.105572367
9557,0,0.116585581
9591,0,0.122978959
9624,0,0.11612657
9657,0,0.125777553
9691,0,0.117259612
9724,0,0.141844145
9758,0,0.145547248
9791,0,0.153758075
9824,0,0.11626634
9858,0,0.136725259
9891,0,0.1800937
9925,1,0.260094361
9958,0,0.310308764
9992,0,0.326594511
10025,0,0.360801427
10058,0,0.356827125
10092,0,0.358098676
10125,0,0.301835982
10159,0,0.298167196
10192,0,0.293063378
10225,0,0.268549698
10259,0,0.243686319
10292,0,0.235686949
10326,0,0.245291338
10359,0,0.20966569
10393,0,0.2091036
10426,0,0.192575898
10459,0,0.154287154
10493,0,0.142970534
10526,0,0.147802849
10560,0,0.165236725
10593,0,0.149870043
10627,0,0.164949472
10660,0,0.157349423
10693,0,0.169183711
10727,0,0.168745436
10760,0,0.163339054
10794,0,0.153427843
10827,0,0.151841592
10860,0,0.157024216
10894,0,0.148551265
10927,0,0.145971189
10961,0,0.144257365
10994,0,0.131428838
11028,0,0.147197247
11061,0,0.132995978
11094,0,0.175055953
11128,0,0.139221051
11161,0,0.125611075
11195,0,0.125814339
11228,0,0.156262484
11261,0,0.143455777
11295,0,0.146248217
11328,0,0.142678221
11362,0,0.142470606
11395,0,0.151448402
11429,0,0.149307979
11462,0,0.152048389
11495,0,0.171815592
11529,0,0.171134407
11562,0,0.150662123
11596,0,0.145429748
11629,0,0.14930669
11662,0,0.136599886
11696,0,0.157576225
11729,0,0.135859074
11763,0,0.160688099
11796,0,0.139016588
11830,0,0.168508975
11863,0,0.160631704
11896,0,0.162462433
11930,0,0.177633071
11963,0,0.185350799
11997,0,0.146850799
12030,0,0.122480401
12063,0,0.120910217
12097,0,0.155636887
12130,0,0.22406344
12164,1,0.261991022
12197,0,0.275364302
12231,0,0.289290639
12264,0,0.282883241
12297,0,0.256284464
12331,0,0.207608481
12364,0,0.176742822
12398,0,0.193337207
12431,0,0.201292702
12465,0,0.200287845
12498,0,0.190188677
12531,0,0.165072256
12565,0,0.207013292
12598,0,0.212953578
12632,0,0.216830792
12665,0,0.207258071
12698,0,0.209593719
12732,0,0.242104533
12765,0,0.207091482
12799,0,0.173742367
12832,0,0.158496367
12866,0,0.161042018
12899,0,0.127294231
12932,0,0.161352906
12966,0,0.137978202
12999,0,0.172083814
13033,0,0.186784396
13066,0,0.186182311
13099,0,0.153468557
13133,0,0.143599053
13166,0,0.148103106
13200,0,0.13296758
13233,0,0.129439599
13267,0,0.133407287
13300,0,0.11473741
13333,0,0.102758407
13367,0,0.135441959
13400,0,0.134354176
13434,0,0.14578223
13467,0,0.123166262
13500,0,0.128641134
13534,0,0.12713354
13567,0,0.141336978
13601,0,0.115996675
13634,0,0.134454758
13668,0,0.126785966
13701,0,0.123347151
13734,0,0.123059357
13768,0,0.134903526
13801,0,0.120572337
13835,0,0.141335763
13868,0,0.120167319
13901,0,0.128272665
13935,0,0.158816561
13968,0,0.15345016
14002,0,0.156347908
14035,0,0.139794281
14069,0,0.138807613
14102,0,0.13016527
14135,0,0.139220846
14169,0,0.153558573
14202,0,0.141791548
14236,0,0.156050827
14269,0,0.152314484
